abbreviation	abbreviate	45.4	1
abdication	abdicate	10.11	0
abduction	abduct	10.5	6
ablation	ablate	10.1	0
abolition	abolish	10.1	4
abrasion	abrade	45.4	1
abstention	abstain	69	0
abstraction	abstract	10.1	1
acceleration	accelerate	45.4	8
acceptance	accept	77.1 13.5.2 29.2-1-1	11
accommodation	accommodate	26.9	11
accompaniment	accompany	51.7	4
accumulation	accumulate	13.5.2 47.5.2	15
accusation	accuse	81	20
achievement	achieve	55.2	48
aching	ache	40.8.2	1
acknowledgment	acknowledge	37.10 29.9-1	1
acquisition	acquire	13.5.2-1	10
activating	activate	45.4	3
activation	activate	45.4	3
adaptation	adapt	26.9	7
adaption	adapt	26.9	7
addiction	addict	96	18
addition	add	22.1-2 108	164
adhesion	adhere	22.5	0
adjustment	adjust	26.9	40
administration	administer	13.2-1-1	61
admiration	admire	31.2	1
admonition	admonish	37.9-1 58.1	0
adoption	adopt	29.1 93 29.2	19
advance	advance	102 45.4	55
advertisement	advertise	35.2	24
advertising	advertise	35.2	24
advice	advise	37.9-1 37.2 37.7-1 58.1	3
affiliation	affiliate	22.2-2	12
affirmation	affirm	78-1-1 31.2 29.5-2	6
affliction	afflict	31.1	0
agglomeration	agglomerate	45.4	0
aggravation	aggravate	31.1	1
aggregation	aggregate	47.5.2	2
aging	age	45.4	4
agitation	agitate	31.1	5
aim	aim	intend-61.2 wish-62	43
airing	air	45.4	0
alert	alert	37.9	7
alienation	alienate	31.1	4
allegation	allege	37.7	31
alliance	ally	71	0
allocation	allocate	13.3	20
allotment	allot	13.3	7
allowance	allow	64.1-1 64.3	6
alteration	alter	26.6.1 45.4	7
alternation	alternate	22.2-2-1 86.1	4
amalgamation	amalgamate	22.2-1-1 22.1-1-1	4
ambulation	ambulate	51.3.2	0
amplification	amplify	45.4 37.12	1
amusement	amuse	31.1	2
analysis	analyze	34.1	75
analyze	analyze	34.1	75
animation	animate	45.4	0
annexation	annex	10.5	1
annihilation	annihilate	44 42.1	3
annnunciation	announce	48.1.2 37.7-1	38
annotation	annotate	25.1	0
announcement	announce	48.1.2 37.7-1	38
announcing	announce	48.1.2 37.7-1	38
appeal	appeal	31.4-3	3
appointment	appoint	29.1	41
appraisal	appraise	54.4	15
appreciation	appreciate	31.2	39
approach	approach	98	99
appropriating	appropriate	13.5.2	30
appropriation	appropriate	13.5.2	30
approximation	approximate	34.2 54.4	1
arrangement	arrange	26.1 55.5-1 9.1	19
arrival	arrive	51.1	38
articulation	articulate	37.7-1	0
ascending	ascend	47.7	0
ascension	ascend	47.7	0
ascent	ascend	47.7	0
asphyxiation	asphyxiate	40.7 42.2	1
assassination	assassinate	42.1	32
assembly	assemble	26.1	5
assertion	assert	29.5	5
assessment	assess	34.1 54.4 34.2	56
assignment	assign	13.3	16
assimilation	assimilate	26.9 14-2-1	0
association	associate	amalgamate-22.2-2	15
assurance	assure	37.13 99 37.9	10
attainment	attain	13.5.1	1
attenuation	attenuate	45.4	0
audit	audit	34.1	35
augmentation	augment	45.4	0
average	average	108-3	3
averaging	average	108-3	3
awakening	wake	45.4	0
award	award	13.3	74
baking	bake	45.3 26.3-1 26.1	1
banding	band	22.3-2 22.4	0
banking	bank	9.10	3
bashing	bash	18.1 18.4-1	1
bath	bathe	41.1.1 9.8	4
bathing	bathe	41.1.1 9.8	4
battering	batter	18.1-1	1
batting	bat	40.3.2	0
battle	battle	36.3-2 36.4-1	88
beating	beat	18.1-1	12
bedding	bed	9.10	5
bedwetting	bedwet	45.4	0
beginning	begin	55.1-1	119
beheading	behead	42.2	0
belching	belch	40.1.1	0
bend	bend	50 45.2 47.6 26.5 47.7	1
bending	bend	50 45.2 47.6 26.5 47.7	1
bequest	bequeath	13.3	0
bet	bet	94 54.5 70	19
betting	bet	94 54.5 70	19
bias	bias	96	0
bickering	bicker	36.4-1	7
bifurcation	bifurcate	45.4	0
biking	bike	51.4.1-1 11.5	4
billing	bill	54.5	13
binding	bind	9.8 22.3-2-1	0
bite	bite	18.2 40.8.3-2	9
biting	bite	18.2 40.8.3-2	9
blanking	blanking	10.4.1	0
blaze	blaze	43.1	5
bleeding	bleed	40.1.2 43.4-1	6
blistering	blister	45.5	0
blitz	blitz	44	0
block	block	16 9.8	8
blockade	blockade	9.8	15
blockage	block	16 9.8	8
blocking	block	16 9.8	8
bloom	bloom	45.5 47.2	2
blooming	bloom	45.5 47.2	2
blossoming	blossom	47.2	1
blowing_up	blow_up	23.2	0
blunting	blunt	45.4	0
blurring	blur	45.4	0
boarding	board	46	1
boast	boast	37.8	2
boating	boat	51.4.1	0
boil	boil	26.3-2 45.3	2
bombardment	bombard	9.8	0
bond	bond	shake-22.3-2-1 tape-22.4	13
bonding	bond	shake-22.3-2-1 tape-22.4	13
boost	boost	102	11
borrowing	borrow	13.5.2	25
botching	botch	45.4	0
bounce	bounce	51.3.2-2 51.3.1 11.2-1	8
bow	bow	40.3.3	1
bowling	bowl	51.3.2-2	6
boxing	box	36.3-2	1
boycott	boycott	52	4
brawl	brawl	36.4-1	0
brawling	brawl	36.4-1	0
break_up	break_up	45.1	0
breakdown	break_down	45.1	0
breaking_off	break_off	23.2	0
breakup	break_up	45.1	0
breastfeeding	breastfeed	39.7	2
breath	breathe	40.1.2-1	21
breathing	breathe	40.1.2-1	21
briefing	brief	37.9	2
broadening	broaden	45.4	1
bruising	bruise	40.8.3-2 21.2-1	0
brushing	brush	41.2.1 10.4.2-1 41.2.2	0
budding	bud	45.5	0
build	build	26.1-1	16
building	build	26.1-1	16
bulging	bulge	47.5.3 47.2	0
bullying	bully	29.8-1	0
burden	burden	13.4.2-1-1	58
burial	bury	9.1-1	10
burn	burn	45.4 40.8.3-2 45.5 43.1	17
burning	burn	45.4 40.8.3-2 45.5 43.1	17
burping	burp	40.1.1	0
buying	buy	13.5.1	5
buyout	buy_out	13.5.1	0
calcification	calcify	45.4	2
calcifying	calcify	45.4	2
call	call	13.5.1	174
calling	call	13.5.1	174
camping	camp	46	0
cancerization	cancerize	45.4	0
canning	can	10.10	0
cap	cap	9.9	25
capture	capture	10.5-1	12
care	care	31.3	142
caring	care	31.3	142
cascading	cascade	47.7	0
casting	cast	26.1	4
castration	castrate	45.4	0
castration	castrate	45.4	0
castration	castrate	45.4	0
catalog	catalogue	29.10	0
catalogue	catalogue	29.10	0
catch	catch	13.5.1	5
catching	catch	13.5.1	5
categorization	categorize	29.10 45.4	2
causation	cause	27.1-1, 27.2	0
caution	caution	37.9-1	7
certification	certify	29.2	7
cessation	cease	55.4-1	10
change	change	45.4 26.6.1-1	184
changing	change	45.4 26.6.1-1	184
characterization	characterize	29.2-1	1
chase	chase	51.6	11
chasing	chase	51.6	11
chat	chat	37.6	24
chatting	chat	37.6	24
check	check	35.2	24
check_up	check_up	35.2	0
checking	check	35.2	24
chewing	chew	39.2-1	0
chlorination	chlorinate	45.4	2
choice	choose	13.5.1	134
choking	choke	40.7	0
choosing	choose	13.5.1	134
chop	chop	21.2-2 21.1-1 18.2	1
circularisation	circularize	13.2-1-1	4
circumcision	circumcise	45.4	2
civilization	civilize	45.4	1
claim	claim	37.7-1	29
clapping	clap	43.2	1
clarification	clarify	45.4	0
clash	clash	36.4-1	78
classification	classify	29.2 29.10	7
cleaning	clean	10.3 45.4 26.3-2	15
cleaning	clean_up	26.3-2 45.4 10.3	0
cleavage	cleave	21.2-1	2
clenching	clench	40.3.2	0
click	click	18.1 43.2 40.3.2	2
climb	climb	51.3.2, 51.1-1-3	4
climbing	climb	51.3.2, 51.1-1-3	4
clip	clip	21.1-1 41.2.2	1
clogging	clog	9.8 45.4	1
close	close	45.4 40.3.2	41
closing	close	45.4 40.3.2	41
clothing	clothe	41.1.1	1
clouding	cloud	45.4	0
clubbing	club	18.3	0
clubbing	clubbing	47.3 26.7	0
clunking	clunk	43.2	0
co-existence	coexist	47.1-1	0
coagulation	coagulate	45.4	0
coating	coat	9.8	9
coblation	ablate	10.1	0
coding	code	29.10	2
coding	code	29.10	2
coexistence	coexist	47.1-1	0
collaborating	collaborate	71	1
collaboration	collaborate	71	1
collapse	collapse	45.4	25
collecting	collect	13.5.2 47.5.2 22.3-2 45.4 26.5	43
collection	collect	13.5.2 47.5.2 22.3-2 45.4 26.5	43
collision	collide	18.4-1 18.4	22
collusion	collude	71	0
coloration	color	24	2
coloring	color	24	2
combat	combat	36.4-1	13
combination	combine	22.1-1-1	17
combustion	combust	45.4	3
coming	come	51.1	9
comment	comment	37.11-1-1	113
commentary	comment	37.11-1-1	113
commercialization	commercialize	45.4	3
commitment	commit	79 92-1	23
communicating	communicate	37.1.1 36.4-1	70
communication	communicate	37.1.1 36.4-1	70
comparison	compare	22.2-2	33
compensation	compensate	13.4.2-1-1	45
competition	compete	36.4-1	92
compilation	compile	26.1	5
complaining	complain	37.8	30
complaint	complain	37.8	30
completion	complete	55.2	31
composition	compose	26.4	8
comprehension	comprehend	87.2-1	7
compression	compress	26.5	4
computation	compute	26.4	0
concern	concern	31.1	449
concession	concede	13.3	4
conclusion	conclude	97.2	14
condemnation	condemn	81	1
condensation	condense	45.4	0
conditioning	condition	41.2.2	12
confederation	confederate	22.2-2	12
conference	confer	37.6	258
confession	confess	37.10 37.7-1	19
confirmation	confirm	78-1-1 29.5-2	26
confiscation	confiscate	10.5	6
conflict	conflict	36.4-1	151
confrontation	confront	98	59
confusion	confuse	amalgamate-22.2-2 amuse-31.1	43
conglomeration	combine	22.1-1-1	17
congregation	congregate	47.5.2	7
conization	conization	10.1	0
connecting	connect	22.1-2-1 22.4	87
connection	connect	22.1-2-1 22.4	87
conquering	conquer	42.3	0
conquest	conquer	42.3	0
conservation	conserve	13.5.1	12
consideration	consider	29.9-1-1-1	17
consolation	console	31.1	4
consolidation	consolidate	22.2-1-1 22.1-1 22.2-2-1	15
conspiracy	conspire	71	0
constitution	constitute	55.5	0
construction	construct	26.4 45.4	302
consult	consult	36.3-1 37.1.2 36.4	27
consultation	consult	36.3-1 37.1.2 36.4	27
consulting	consult	36.3-1 37.1.2 36.4	27
consuming	consume	66	40
consumption	consume	66	40
containment	contain	54.3 47.8	6
contamination	contaminate	9.8	7
content	content	31.1	2
contention	contend	36.4	0
continuation	continue	55.3 55.6	15
contracting	contract	45.4	13
contraction	contract	45.4	13
contrast	contrast	22.2-2-1	70
contribution	contribute	13.2-1-1	73
convening	convene	47.5.2	33
convention	convene	47.5.2	33
convergence	converge	87.1 47.7	3
conversation	converse	37.6	46
conversion	convert	26.6.1-1 26.6.2-1	11
conveyancing	conveyancing	11.1	2
convulsion	convulse	40.6	1
cooking	cook	45.3 26.3-1 26.1	3
cooling	cool	45.4	3
coping	cope	83-1	0
copy	copy	25.4 25.2	54
copying	copy	25.4 25.2	54
correction	correct	45.4	16
correlation	correlate	22.2-2-1 86.1	12
corrosion	corrode	45.4 45.5	1
corruption	corrupt	45.4	105
cost	cost	54.2	9
cough	cough	40.1.2-1	37
coughing	cough	40.1.2-1	37
counseling	counsel	37.9-1	26
count	count	108 34.2	18
counting	count	108 34.2	18
coupling	couple	22.2-1	0
coverage	coverage	9.8 47.8	0
crabbing	crab	13.7	1
crash	crash	18.4-1 45.1 43.2	29
craving	crave	32.1 32.2-1	3
creation	create	26.4, 27.1	35
credit	credit	13.4.1-1	38
crepitation	crepitate	43.2	0
crossing	cross	51.1-1-3, 47.7	8
crossing_out	cross_out	40.3.2	0
crusting	crust	45.5	0
cry	cry	37.3	6
crying	cry	37.3	6
crying_out	cry_out	37.3	0
cuddling	cuddle	36.2	0
cultivation	cultivate	26.3-1	13
curb	curb	42.3	7
cycling	cycle	51.4.1-1	4
damage	damage	44	273
dampening	dampen	42.3	0
dampening	dampen	45.4	0
dance	dance	51.5	31
dancing	dance	51.5	31
darkening	darken	45.4	0
dating	date	36.2	9
dazzling	dazzle	31.1	0
deal	deal	83	209
dealing	deal	83	209
death	die	48.2	576
debate	debate	36.3-2 37.6	84
debriefing	debrief	37.9	0
deceleration	decelerate	45.4	0
decision	decide	13.5.1	282
declaration	declare	48.1.2 37.7-1	51
decomposition	decompose	45.5	0
decompression	decompress	45.4	0
deconditioning	decondition	41.2.2	0
decoration	decorate	25.3 9.8	8
decrease	decrease	45.4	13
dedication	dedicate	79	14
deduction	deduct	10.1 108-2	2
deepening	deepen	45.4	0
defecation	defecate	40.1.2-1	1
defence	defend	85	21
defense	defend	85	21
definition	define	29.2-1-1 48.1.2	59
deflation	deflate	45.4	0
deforestation	deforest	10.8	0
deformation	deform	26.6.1	1
degeneration	degenerate	45.4	4
degradation	degrade	45.4	9
dehydration	dehydrate	45.4	1
delay	delay	53.1-1	24
deleting	delete	10.1	3
deletion	delete	10.1	3
deliberation	deliberate	36.3-1	0
delivery	deliver	11.1	52
demand	demand	103	70
demolition	demolish	44 31.1	11
demonstration	demonstrate	78-1-1 37.1.1	71
demoralization	demoralize	31.1	1
dent	dent	21.2-1	3
departure	depart	51.1-1 10.11	23
dependency	depend	70	0
depiction	depict	29.2	4
deportation	deport	10.2	3
deposit	deposit	9.1-1	15
deposition	deposit	9.1-1	15
depression	depress	31.1	45
derivation	derive	26.4 97.2	0
desalination	desalinate	45.4	0
desalinization	desalinate	45.4	0
desaturation	desaturate.	45.4	0
descending	descend	47.7	0
description	describe	29.2-1-1	28
desecration	desecrate	44	5
design	design	26.4-1	50
designation	designate	29.1	5
desire	desire	32.1	5
destabilization	destabilize	45.4	4
destruction	destroy	44	93
detachment	detach	23.3	1
detection	detect	30.1-1	3
deterioration	deteriorate	45.5 45.4	22
determination	determine	84 29.5-1	15
devaluation	devalue	45.4	4
devastation	devastate	44 31.1	14
development	develop	26.1	204
deviation	deviate	23.4	13
devolution	devolve	13.3	0
devotion	devote	79	27
deworming	deworm	10.8	1
diagnosis	diagnose	29.2	9
dictating	dictate	37.1.1-1	2
dictation	dictate	37.1.1-1	2
die	die	48.2	576
differentiation	differentiate	23.1-1	1
diffraction	diffract	45.4	0
diffusion	diffuse	45.4	2
dig	dig	35.1	2
digging	dig	35.1	2
diminution	diminish	45.4	0
dining	dine	39.5	1
directing	direct	26.7-1	69
direction	direct	26.7-1	69
disagreement	disagree	36.4-1	0
disappointment	disappoint	31.1	23
disarmament	disarm	31.1	1
disarming	disarm	31.1	1
disclosure	disclose	78-1-1 37.7	6
discontinuation	discontinue	55.2	1
discovery	discover	84 30.2 29.5-2	23
disgust	disgust	31.1	6
dishonor	dishonor	31.1	0
dishonour	dishonor	31.1	0
disintegration	disintegrate	45.4	11
dislocation	dislocate	45.4	5
disorganization	disorganize	45.4	0
display	display	48.1.2	14
dispute	dispute	36.4-1	60
dissatisfaction	dissatisfy	31.1	0
dissemination	disseminate	13.2-1	3
dissipation	dissipate	45.4	1
dissociation	dissociate	23.1-2	0
dissolution	dissolve	45.4	7
distension	distend	45.2	2
distention	distend	45.2	2
distortion	distort	26.5	4
distraction	distract	31.1	12
distribution	distribute	13.2-1	30
disturbance	disturb	31.1	11
divergence	diverge	23.4	6
diversification	diversify	45.4	10
diversion	divert	31.1	12
dividing	divide	23.1-1 45.4	43
division	divide	23.1-1 45.4	43
divorce	divorce	36.2	19
dock	dock	9.10-1	9
docking	dock	9.10-1	9
dockings	dock	9.10-1	9
documentation	document	25.4	19
dogsledding	dogsled	51.4.1	0
dominance	dominate	47.8-2	18
domination	dominate	47.8-2	18
dominion	dominate	47.8-2	18
donation	donate	13.2-1-1	16
doubling	double	45.4	6
doubt	doubt	29.5-1	42
douching	douche	41.2.1 41.1.1	0
drafting	draft	26.4	0
drag	drag	11.4 35.2	6
draining	drain	10.3-1 45.4	2
draw	draw	10.1 11.4 23.2	10
draw_down	draw	10.1 11.4 23.2	10
drawing	draw	10.1 11.4 23.2	10
dream	dream	62	49
dreaming	dream	62	49
dredging	dredge	35.2	0
dressing	dress	41.1.1	0
dribbling	dribble	40.1.2	1
drilling	drill	21.2-2	11
drink	drink	39.1-2	43
drinking	drink	39.1-2	43
drive	drive	11.5	35
drive_around	drive	11.5	35
driving	drive	11.5	35
drooling	drool	40.1.2 43.4	0
drooping	droop	47.6	0
drop	drop	9.4 45.6-1 51.3.1 47.7	55
dropping	drop	9.4 45.6-1 51.3.1 47.7	55
dueling	duel	36.4-1	1
dumping	dump	9.3-1-1	0
duplication	duplicate	25.4	1
dusting	dust	9.7-2	4
dying	die	48.2	576
eating	eat	39.1-1	16
echo	echo	47.4	2
edification	edify	45.7	0
educating	educate	37.9	183
education	educate	37.9	183
ejection	eject	10.1	0
elaboration	elaborate	37.11-1-1	1
election	elect	29.1	153
electrocoagulation	coagulate	45.4	0
electrodesiccation	desiccate	45.4	0
elevation	elevate	9.4	0
elimination	eliminate	10.1	10
emancipation	emancipate	10.5	4
employment	employ	13.5.3	33
emptying	empty	10.3-1 45.4	0
encouragement	encourage	37.9 58.1-1-1	33
end	end	55.4-1	412
ending	end	55.4-1	412
endowment	endow	9.8	8
engagement	engage	13.5.3 22.2-3-2 31.1	5
eradication	eradicate	10.1	2
erection	erect	26.1	0
erosion	erode	45.5	6
escape	escape	51.1-1	5
establishment	establish	55.5-1 78-1-1 97.1	37
estimate	estimate	54.4	19
estimation	estimate	54.4	19
evacuation	evacuate	10.2	6
evaluation	evaluate	34.1	33
evaporation	evaporate	45.4	4
evasion	evade	52	10
evening_out	even_out	45.4	0
evolution	evolve	26.2.1	35
exaction	exact	13.5.2	0
exam	examination	35.4	0
examination	examination	35.4	0
excavation	excavate	35.2	1
excision	excise	10.1	0
excitement	excite	31.1	3
excommunication	excommunicate	10.1	1
execution	execute	42.1	16
exenteration	exenterate	10.8 42.2	0
exercise	exercise	41.1.1	38
exhaustion	exhaust	31.1	0
exhibition	exhibit	48.1.2	27
exile	exile	36.4	14
existing	exist	39.6 47.1-1	0
exit	exit	51.1-1	3
expansion	expand	45.4	38
expectation	expect	62 29.5-1	109
experience	experience	30.2	228
expiration	expire	48.2	11
explanation	explain	37.1.1 78-1	86
explosion	explode	45.4 43.2	61
exposure	expose	48.1.2 78	27
expression	express	48.1.2	30
expulsion	expel	10.2 10.1	7
extension	extend	47.1-1	7
extermination	exterminate	44	0
extortion	extort	10.5	7
extracting	extract	10.1	4
extraction	extract	10.1	4
extradition	extradite	10.2	0
extrapolating	extrapolate	108-2	0
extrapolation	extrapolate	108-2	0
extrusion	extrude	10.1	0
fabrication	fabricate	26.4	11
failing	fail	neglect-75.1-1 succeed-74-3-1-1	0
failure	fail	neglect-75.1-1 succeed-74-3-1-1	0
fainting	faint	40.8.4	2
fall	fall	51.1	22
falling	fall	51.1	22
fancy	fancy	31.2 32.1	5
farting	fart	40.1.1	1
fascination	fascinate	31.1	0
favor	favor	31.2	82
favour	favor	31.2	82
fear	fear	31.3, 31.2-1	100
federation	federate	45.4	0
feeding	feed	39.7 39.6	5
feeling	feel	30.1-1-1, 30.3	80
fermentation	ferment	45.5	1
feud	feud	36.4-1	10
feuding	feud	36.4-1	10
fibrillation	fibrillate	45.4	1
fight	fight	36.4-1 36.3-2	74
fighting	fight	36.4-1 36.3-2	74
file	file	9.10	16
filing	file	9.10	16
filling	fill	9.8 45.4 47.8	7
filming	film	25.4	3
filtration	filter	10.4.2	1
find	find	84 13.5.1	16
finding	find	84 13.5.1	16
fine	fine	54.5	21
fire	fire	17.1-1	43
fishing	fish	35.1 13.7	20
fissuring	fissure.	45.1	0
fit	fit	54.3 9.3-1 26.9	4
fitting	fit	54.3 9.3-1 26.9	4
fix	fix	54.4 22.3-2	8
fixation	fixate	87.1 22.3-2-1	4
flaking	flake	21.2-1	0
flash	flash	43.1 40.3.2	5
flashing	flash	43.1 40.3.2	5
flattening	flatten	21.2-1 45.4	0
fleeing	flee	51.1-1	0
flexion	flex	40.3.2	0
flickering	flicker	43.1	0
flight	flee	51.1-1	0
flight	fly	51.3.2-2-1 11.5-1 51.4.2	161
flipping	flip	17.1-1	2
flood	flood	45.4 9.8	26
flooding	flood	45.4 9.8	26
flossing	floss	41.2.1	0
flow	flow	47.2	32
flushing	flush	10.4.1	0
flushing	flush	40.1.1	0
fluttering	flutter	40.3.2 47.3	0
flying	fly	51.3.2-2-1 11.5-1 51.4.2	161
foaming	foam	47.2 43.4	0
formation	form	26.4 48.1.2	32
formatting	format	55.5-1	0
forming	form	26.4 48.1.2	32
formulation	formulate	26.1 26.4	7
forwarding	forward	11.1-1	1
foundation	found	55.5-1 97.1	15
founding	found	55.5-1 97.1	15
freeze	freeze	45.4 57	8
freezing	freeze	45.4 57	8
fright	frighten	31.1	0
frost	frost	45.4	1
frustration	frustrate	31.1	26
function	function	29.6	15
functioning	function	29.6	15
fusion	fuse	22.1-1-1 22.3-1-1	22
gain	gain	13.5.1-1	11
gamble	gamble	94 70	19
gambling	gamble	94 70	19
gauge	gauge	54.4 34.2	8
germination	germinate	45.5	0
gesture	gesture	40.3.1	11
giving	give	13.1-1	0
glare	glare	40.2 30.3	7
glimpse	glimpse	30.2	1
gossiping	gossip	37.6	0
gouging	gouge	21.2-1	1
grabbing	grab	15.1, 13.5.2, 10.5-1	1
grading	grade	29.10	0
grading	grade	45.4	0
grafting	graft	22.3-2-1	0
grant	grant	29.5-2 13.3	48
